33353128	136954	False
50713610	102573	False
50713610	102572	False
50713610	67616	False
50713610	69866	False
23044967	392884	False
23044967	392890	False
23044967	392887	False
58041461	347265	True
33353128	223473	False
53852522	79077	True
53852522	159169	True
53852522	377453	True
58878684	129215	False
53540369	30744	False
121437774046546	375049	False
121437774046546	312307	False
121437774046546	317076	False
121437774046546	69130	False
121437774046546	312736	False
121437774046546	95940	False
53852522	79528	True
23044967	1769	True
23044967	1765	True
58041461	188442	False
58041461	196974	False
58041461	30631	True
58041461	117402	True
58041461	70455	True
23044967	99120	True
23044967	134872	True
23044967	392883	False
23044967	135238	True
23044967	135663	True
23044967	167648	False
23044967	167355	False
23044967	135166	True
23044967	76108	True
23044967	74499	True
58041461	30624	True
58041461	102573	True
58041461	72785	True
58041461	69866	True
58041461	106237	True
58041461	106465	True
33353128	317076	True
33353128	96090	False
33353128	96694	False
33353128	375088	True
33353128	111676	False
33353128	121442	True
33353128	373143	True
33353128	97328	True
33353128	96019	True
33353128	96311	True
53852522	70472	False
53852522	79607	True
53852522	78551	True
53852522	375483	True
53852522	79076	True
53852522	96296	False
53852522	97435	True
33353128	362102	True
33353128	375082	False
33353128	312307	True
33353128	96033	False
33353128	69130	False
61270791	78551	True
61270791	79076	True
61270791	79607	True
61270791	375483	True
61270791	97435	True
61270791	96296	True
-1	375049	False
-1	69130	False
-1	96215	False
-1	312736	False
-1	95940	False
-1	97110	False
316178	312736	False
316178	97110	False
316178	95940	False
316178	136954	False
316178	97328	True
316178	362102	True
316178	375049	True
316178	96033	True
316178	96019	True
65066515	30718	True
65066515	30744	True
65066515	93395	True
33353128	375049	True
33353128	96215	True
33353128	312736	True
33353128	95940	True
33353128	97110	True
